sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
崙背,雲林縣,24,,良好,1.4,0.21,13.5,6.4,20,6,4.8,7.2,2.3,1.4,196,2024-06-01 09:00,,0.1,7.3,24,0,120.348742,23.757547,38
斗六,雲林縣,21,,良好,1.2,0.19,23.9,9.8,18,10,3.7,6.1,2.3,2.3,203,2024-06-01 09:00,,0.1,6.4,19,1,120.544994,23.711853,37
南投,南投縣,25,,良好,0.2,0.19,15.4,5.9,21,2,3.4,5.9,2.5,0.6,147,2024-06-01 09:00,,0.1,4.6,25,0,120.685306,23.913,36
二林,彰化縣,41,,良好,1.3,0.19,18.2,8.6,24,14,5.2,7.6,2.3,2.1,202,2024-06-01 09:00,,0.1,12.6,29,0,120.409653,23.925175,35
線西,彰化縣,18,,良好,1.3,0.15,22.3,11.2,11,3,3.6,6.6,3,3.1,212,2024-06-01 09:00,,0.1,5.2,18,0,120.469061,24.131672,34
彰化,彰化縣,14,,良好,0.9,0.13,23.6,14.1,5,3,3.3,5.1,1.8,2.2,211,2024-06-01 09:00,,0.1,4.2,13,0,120.541519,24.066,33
西屯,臺中市,23,,良好,1.8,0.24,15.9,6.7,27,8,8.6,15.8,7.1,1.7,193,2024-06-01 09:00,,0.1,7,22,1,120.616917,24.162197,32
忠明,臺中市,20,,良好,1.3,0.3,15.4,7.8,21,5,7.5,12.3,4.8,2.4,189,2024-06-01 09:00,,0.2,5.2,20,1,120.641092,24.151958,31
大里,臺中市,24,,良好,1.9,0.26,13.4,6.5,20,6,7.9,12.5,4.6,1.6,227,2024-06-01 09:00,,0.2,7.3,23,1,120.67844444,24.09961111,30
沙鹿,臺中市,18,,良好,0.8,0.18,19.7,14.5,15,8,5.8,8.8,2.9,2.9,170,2024-06-01 09:00,,0.1,5.5,14,0,120.568794,24.225628,29
豐原,臺中市,14,,良好,0.9,0.15,22.5,15.8,11,4,2.9,4.7,1.8,3.5,188,2024-06-01 09:00,,0.1,3.5,14,0,120.74252414,24.25699731,28
三義,苗栗縣,12,,良好,0.5,0.1,21,14.0,8,3,0.4,2,1.5,3.5,188,2024-06-01 09:00,,0.1,2.9,10,0,120.75956754,24.38248443,27
苗栗,苗栗縣,15,,良好,1,0.1,20.6,13.0,6,6,4,6.6,2.6,3.9,221,2024-06-01 09:00,,0.1,4.7,8,0,120.82011468,24.56499183,26
頭份,苗栗縣,23,,良好,2.1,0.22,17.3,10.0,15,7,6.8,10.7,3.9,3,244,2024-06-01 09:00,,0.1,7.1,16,1,120.89869286,24.69690679,25
新竹,新竹市,13,,良好,1.2,0.21,17.9,10.1,5,4,7.6,11.6,3.9,2,297,2024-06-01 09:00,,0.1,4,10,0,120.97236752,24.8056356,24
竹東,新竹縣,24,,良好,3.3,0.17,8.8,4.2,25,7,4,6.7,2.6,1,98,2024-06-01 09:00,,0.1,7.4,19,0,121.08895493,24.74091408,23
湖口,新竹縣,29,,良好,0.2,0.16,13.7,11.1,12,11,7.1,10.9,3.8,2.2,347,2024-06-01 09:00,,0.1,8.8,12,0,121.03886894,24.90009696,22
龍潭,桃園市,23,,良好,0.8,0.29,15,6.0,18,6,6.9,11.4,4.5,2,244,2024-06-01 09:00,,0.2,7.2,18,0,121.21645772,24.86400048,21
平鎮,桃園市,23,,良好,1.1,0.26,9.1,7.5,19,7,14.4,25.5,11.1,1.2,8,2024-06-01 09:00,,0.2,5.5,17,0,121.203986,24.952786,20
觀音,桃園市,13,,良好,0.5,0.09,21.4,14.8,14,6,6.4,9.5,3.1,2,22,2024-06-01 09:00,,0,4,11,0,121.08283092,25.03556747,19
大園,桃園市,14,,良好,,,14,15.1,19,6,,,,1.5,2,2024-06-01 09:00,,0.1,3.9,13,1,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,2.6,0.24,12.2,7.0,14,11,12.1,19.4,7.2,1,296,2024-06-01 09:00,,0.2,11.1,16,1,121.30500531,24.9947107,17
大同,臺北市,42,,良好,1.5,0.89,10.2,3.8,16,10,21.7,45.1,23.3,-,-,2024-06-01 09:00,,0.7,12.9,23,1,121.51342074,25.06331455,16
松山,臺北市,45,,良好,,0.41,11.8,3.7,28,15,12.8,22.5,9.6,0.8,47,2024-06-01 09:00,,0.3,13.9,26,,121.578611,25.05,15
古亭,臺北市,31,,良好,,0.43,8.1,4.4,28,10,17.2,43.9,26.6,1.2,118,2024-06-01 09:00,,0.2,9.7,23,2,121.529556,25.020608,14
萬華,臺北市,34,,良好,0.4,0.4,14.1,6.2,26,11,12.6,22.1,9.5,0.5,308,2024-06-01 09:00,,0.3,10.4,25,0,121.507972,25.046503,13
中山,臺北市,32,,良好,0.7,0.44,14,5.9,18,12,14.4,23.8,9.3,1,158,2024-06-01 09:00,,0.3,10,21,0,121.526528,25.062361,12
士林,臺北市,35,,良好,0.9,0.23,14.8,8.4,16,8,11.3,17.5,6.2,1,321,2024-06-01 09:00,,0.2,10.9,16,1,121.51666356,25.10334003,11
淡水,新北市,16,,良好,0.9,0.13,16.4,16.6,19,6,6.2,8.5,2.3,0.7,290,2024-06-01 09:00,,0.1,4.9,15,1,121.449239,25.1645,10
林口,新北市,20,,良好,0.5,0.13,13.3,11.8,9,6,5.8,8.8,2.9,1.6,338,2024-06-01 09:00,,0.1,6.2,11,0,121.36548982,25.07798949,9
菜寮,新北市,25,,良好,1.2,0.33,19.9,6.8,17,8,10.3,14.4,4.1,0.6,94,2024-06-01 09:00,,0.4,7.6,19,1,121.481028,25.06895,8
新莊,新北市,33,,良好,0.9,0.33,16.2,3.8,25,6,12.5,19,6.5,1.1,336,2024-06-01 09:00,,0.3,10.2,21,0,121.4325,25.037972,7
板橋,新北市,33,,良好,0.5,0.64,14.9,4.4,27,13,18.5,28.7,10.1,1,142,2024-06-01 09:00,,0.4,10.2,25,0,121.458667,25.012972,6
土城,新北市,47,,良好,,0.59,16.2,3.4,37,18,17.8,26.5,8.7,0.8,120,2024-06-01 09:00,,0.4,14.5,28,0,121.451861,24.982528,5
新店,新北市,35,,良好,0.3,0.43,11.1,6.3,26,15,10.5,18.8,8.2,0.7,127,2024-06-01 09:00,,0.2,10.9,24,1,121.537778,24.977222,4
萬里,新北市,20,,良好,0.2,0.12,17.2,10.4,24,3,6.5,10,3.5,1.9,54,2024-06-01 09:00,,0.1,4.8,20,0,121.689881,25.179667,3
汐止,新北市,38,,良好,1.8,0.36,40.1,8.6,31,12,18.1,21.1,3,0.9,78,2024-06-01 09:00,,0.3,11.7,28,2,121.64081,25.06624,2
基隆,基隆市,27,,良好,0.9,0.26,13.9,3.7,30,10,6.9,10.7,3.7,0.9,58,2024-06-01 09:00,,0.3,7.7,27,0,121.760056,25.129167,1
屏東(枋山),屏東縣,21,,良好,0.2,0.08,21.7,11.0,24,5,1.3,2.1,0.8,1.2,179,2024-06-01 08:00,,0,2.1,21,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,11,,良好,0.7,0.26,13.3,11.8,13,3,6.7,10.3,3.6,0.9,117,2024-06-01 08:00,,0.2,2.6,11,0,120.65525382,24.39017512,312
新北(樹林),新北市,38,,良好,0.4,0.27,4.3,3.2,27,11,5.4,10.6,5.2,0,178,2024-06-01 08:00,,0.2,11.7,24,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,29,,良好,0.7,0.09,14.3,10.8,19,10,2.5,3.7,1.2,0.3,105,2024-06-01 08:00,,0.1,9,27,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,22,,良好,0.7,0.25,8.9,6.2,25,8,9,16.8,7.8,0.6,132,2024-06-01 08:00,,0.1,6.9,22,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,26,,良好,2.3,0.43,13.1,4.9,27,11,10.1,15.6,5.5,1.7,165,2024-06-01 08:00,,0.2,8,23,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,21,,良好,1.4,0.17,17.5,13.0,20,11,5,6.6,1.6,1.2,118,2024-06-01 08:00,,0.1,6.4,17,1,120.56373,23.96117,201
大城,彰化縣,17,,良好,1.1,0.18,9,8.6,20,8,6.3,10.3,4,2.5,200,2024-06-01 08:00,,0.1,4.8,17,1,120.26964167,23.85493056,85
富貴角,新北市,22,,良好,0.3,0.07,17.7,19.9,20,10,5.7,8.1,2.3,1.2,270,2024-06-01 08:00,,0,6.8,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,23,,良好,2,0.31,9.1,7.8,26,11,7.8,13,5.2,2.2,201,2024-06-01 08:00,,0.1,7,20,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,0.8,0.18,14.3,8.2,22,7,2.7,3.8,1.1,0.8,118,2024-06-01 08:00,,0.1,6.5,23,0,121.161933,23.045083,80
馬公,澎湖縣,20,,良好,1.1,0.18,10.1,16.5,12,2,12,15.5,3.5,2,145,2024-06-01 08:00,,0.1,0.8,7,0,119.566158,23.569031,78
金門,金門縣,11,,良好,0.5,0.13,11.5,11.3,10,5,6.9,9.9,2.9,0.4,119,2024-06-01 08:00,,0,3.3,9,0,118.312256,24.432133,77
馬祖,連江縣,58,臭氧八小時,普通,0.5,0.18,59.7,58.0,12,5,2.3,3.2,0.9,0.6,331,2024-06-01 08:00,,0.2,4.5,13,0,119.93149378,26.15188416,75
埔里,南投縣,26,,良好,0.9,0.19,7.5,5,24,6,2.3,5.8,3.4,0.8,67,2024-06-01 08:00,,0.1,8.1,26,0,120.967903,23.968842,72
復興,高雄市,27,,良好,7.4,0.53,9.7,5.8,28,12,16.8,24.9,8,1.2,93,2024-06-01 08:00,,0.2,6.5,18,1,120.312017,22.608711,71
永和,新北市,32,,良好,0.9,0.85,3.8,4.1,28,11,8.3,26.1,17.8,0.8,76,2024-06-01 08:00,,0.4,9.9,22,0,121.516306,25.017,70
竹山,南投縣,27,,良好,0.7,0.14,9.7,5.7,22,10,4,6.7,2.6,0.9,330,2024-06-01 08:00,,0.1,8.4,22,0,120.677306,23.756389,69
中壢,桃園市,29,,良好,0.5,1.08,3.9,6.2,21,9,17.1,53.6,36.4,0.2,241,2024-06-01 08:00,,0.5,8.9,19,1,121.221667,24.953278,68
三重,新北市,35,,良好,1.3,0.62,6.5,3.6,16,8,17,54.4,37.4,-,-,2024-06-01 08:00,,0.5,10.9,21,0,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,0.4,0.24,6.6,12.0,33,6,6.2,11.3,5,0.5,236,2024-06-01 08:00,,0.1,8.2,26,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,1,0.23,16.9,17.5,19,5,4.1,5.2,1.1,0.3,167,2024-06-01 08:00,,0.1,4.9,17,1,121.746394,24.747917,65
陽明,臺北市,14,,良好,1,0.16,12.1,15.4,17,4,5.2,6.4,1.2,0.6,200,2024-06-01 08:00,,0.1,2.2,12,0,121.529583,25.182722,64
花蓮,花蓮縣,22,,良好,0.5,0.27,11.2,13.0,,5,2.7,3.4,0.6,1.3,218,2024-06-01 08:00,,0.2,6.8,,0,121.599769,23.971306,63
臺東,臺東縣,20,,良好,0,0.19,18.9,13.4,18,5,8.3,10.7,2.3,0.2,56,2024-06-01 08:00,,0.1,5.2,20,0,121.15045,22.755358,62
恆春,屏東縣,20,,良好,0.5,0.08,25.5,22.2,9,7,1,1.7,0.6,2.4,233,2024-06-01 08:00,,0,6.2,10,0,120.788928,21.958069,61
潮州,屏東縣,25,,良好,0.8,0.11,15.6,8.5,23,2,2.4,4.5,2.1,2,160,2024-06-01 08:00,,0.1,4.2,25,1,120.561175,22.523108,60
屏東,屏東縣,26,,良好,1.1,0.3,11.7,6.9,24,5,7.9,12,4,1.8,108,2024-06-01 08:00,,0.1,5.7,26,1,120.488033,22.673081,59
小港,高雄市,31,,良好,3.2,0.45,6.5,4.9,27,14,17.8,32.9,15.1,1.3,175,2024-06-01 08:00,,0.2,9.7,21,2,120.337736,22.565833,58
前鎮,高雄市,28,,良好,7.3,0.52,8.5,4.6,23,8,17.7,29.4,11.6,0.9,150,2024-06-01 08:00,,0.3,5.3,21,2,120.30833356,22.6044507,57
前金,高雄市,23,,良好,3.8,0.39,11.5,6.0,24,8,14.7,21.8,7.1,1.1,144,2024-06-01 08:00,,0.2,4.7,19,1,120.28676111,22.63390278,56
左營,高雄市,23,,良好,3.1,0.41,11.9,7.0,23,7,13.1,19.6,6.4,2.5,185,2024-06-01 08:00,,0.2,7,17,1,120.292917,22.674861,54
楠梓,高雄市,29,,良好,5.1,0.32,9.3,4.8,27,9,15.4,27.8,12.4,2.3,165,2024-06-01 08:00,,0.2,8.9,27,1,120.328289,22.733667,53
林園,高雄市,58,懸浮微粒,普通,1.5,0.15,14.2,6.8,85,12,4.2,6.9,2.7,2.2,126,2024-06-01 08:00,,0.2,10.6,58,1,120.41175,22.4795,52
大寮,高雄市,31,,良好,1.1,0.22,9.8,3.1,36,12,7,10.1,3.1,1.5,164,2024-06-01 08:00,,0.2,9.7,31,1,120.425311,22.56413611,51
鳳山,高雄市,24,,良好,2.2,0.46,8.7,5.3,27,0,8.5,13.6,5.1,1,85,2024-06-01 08:00,,0.2,2.6,24,1,120.357422,22.628126,50
仁武,高雄市,20,,良好,1.5,0.27,12.5,9.1,25,4,6.9,11.2,4.2,2.1,129,2024-06-01 08:00,,0.2,6.2,19,0,120.332631,22.689056,49
橋頭,高雄市,24,,良好,3.9,0.3,10.4,7.5,27,10,13.5,21.1,7.5,2.1,136,2024-06-01 08:00,,0.2,7.4,22,0,120.305689,22.757506,48
美濃,高雄市,25,,良好,0.4,0.15,12.3,8.6,30,0,2.5,4.4,1.8,1,80,2024-06-01 08:00,,0.1,3.2,25,0,120.530542,22.883583,47
臺南,臺南市,36,,良好,4.9,0.44,11.4,7.9,32,16,12.9,20.7,7.7,2.6,178,2024-06-01 08:00,,0.2,11.1,24,1,120.21947897,22.98928311,46
安南,臺南市,31,,良好,3.3,0.48,11.1,7.2,26,8,13,21.9,8.9,2.2,153,2024-06-01 08:00,,0.2,9.5,24,0,120.2175,23.048197,45
善化,臺南市,27,,良好,0.8,0.21,11.4,8.3,21,10,4,7,2.9,2.7,167,2024-06-01 08:00,,0.1,8.2,21,0,120.29740529,23.11337642,44
新營,臺南市,20,,良好,1.1,0.2,13,11.2,19,4,3.8,7,3.1,2.2,170,2024-06-01 08:00,,0.1,3.5,20,0,120.31725,23.305633,43
嘉義,嘉義市,19,,良好,2.3,0.17,14.9,9.9,17,3,4.7,7.5,2.8,2.8,217,2024-06-01 08:00,,0.1,3.2,19,1,120.44125148,23.46477865,42
臺西,雲林縣,22,,良好,1.8,0.3,8.9,7.5,21,4,7.8,11.4,3.6,2.3,189,2024-06-01 08:00,,0.1,4.1,22,1,120.19933333,23.702175,41
朴子,嘉義縣,26,,良好,2.3,0.28,9.3,6.7,18,6,9.6,14.9,5.3,1.3,178,2024-06-01 08:00,,0.1,4.4,26,1,120.2478,23.46538,40
新港,嘉義縣,30,,良好,2,0.2,15.3,11.1,22,7,4.9,8.3,3.3,2.5,194,2024-06-01 08:00,,0.1,9.1,25,1,120.345531,23.554839,39
崙背,雲林縣,25,,良好,1,0.2,10.3,6.3,24,8,6.6,9.7,3.1,0.8,189,2024-06-01 08:00,,0.1,7.8,25,0,120.348742,23.757547,38
斗六,雲林縣,19,,良好,1.4,0.24,13.8,8.4,19,7,6.5,10.5,4,1.3,189,2024-06-01 08:00,,0.1,5.7,19,1,120.544994,23.711853,37
南投,南投縣,26,,良好,0.1,0.2,10.8,4.5,23,4,4.5,7.3,2.7,0.4,174,2024-06-01 08:00,,0.1,5.5,26,0,120.685306,23.913,36
二林,彰化縣,39,,良好,1,0.21,12.3,8.2,38,15,6.1,9.5,3.4,1.9,187,2024-06-01 08:00,,0.1,12,31,0,120.409653,23.925175,35
線西,彰化縣,18,,良好,1.2,0.25,11.5,10.3,20,5,7.1,13.1,6,0.4,142,2024-06-01 08:00,,0.1,5.6,18,0,120.469061,24.131672,34
彰化,彰化縣,14,,良好,0.6,0.19,16.8,13.3,15,4,3.6,5.4,1.8,1.3,199,2024-06-01 08:00,,0.1,4,14,0,120.541519,24.066,33
西屯,臺中市,21,,良好,1.3,0.22,8.1,6.0,24,7,7.5,14.5,6.9,0.7,171,2024-06-01 08:00,,0.1,6.6,21,1,120.616917,24.162197,32
忠明,臺中市,20,,良好,0.8,0.32,7.8,7.6,27,7,6.9,11.7,4.8,0.4,56,2024-06-01 08:00,,0.2,5.1,20,1,120.641092,24.151958,31
大里,臺中市,24,,良好,0.8,0.28,6.8,6,24,6,7.1,12.9,5.7,1.1,262,2024-06-01 08:00,,0.2,7.3,23,1,120.67844444,24.09961111,30
沙鹿,臺中市,16,,良好,0.8,0.19,15.6,14.2,14,5,6,8.3,2.3,2.3,153,2024-06-01 08:00,,0.1,4.9,15,0,120.568794,24.225628,29
豐原,臺中市,15,,良好,1,0.16,17.9,14.4,14,2,3.1,5.2,2.1,2.8,186,2024-06-01 08:00,,0.1,3.6,15,0,120.74252414,24.25699731,28
三義,苗栗縣,11,,良好,0.7,0.1,16.4,12.2,7,3,0.5,2.1,1.6,3.2,189,2024-06-01 08:00,,0.1,2.6,11,0,120.75956754,24.38248443,27
苗栗,苗栗縣,15,,良好,1.2,0.18,14.2,11.9,10,5,4.7,7.4,2.7,2.4,188,2024-06-01 08:00,,0.1,4.7,9,0,120.82011468,24.56499183,26
頭份,苗栗縣,23,,良好,2,0.24,9.2,9.3,18,6,7.3,11.5,4.1,0.5,147,2024-06-01 08:00,,0.1,7,16,1,120.89869286,24.69690679,25
新竹,新竹市,17,,良好,0.5,0.3,6.1,10.1,19,5,10.1,17.6,7.5,1.5,243,2024-06-01 08:00,,0.1,4,11,0,120.97236752,24.8056356,24
竹東,新竹縣,24,,良好,1,0.19,5,3.8,18,8,3.4,5.9,2.5,1,143,2024-06-01 08:00,,0.1,7.5,18,0,121.08895493,24.74091408,23
湖口,新竹縣,28,,良好,0.5,0.2,9.5,12.3,17,11,8.7,12,3.3,1.8,345,2024-06-01 08:00,,0.1,8.6,12,0,121.03886894,24.90009696,22
龍潭,桃園市,24,,良好,0.6,0.29,6.1,5.3,19,8,7.6,14.6,7,1,206,2024-06-01 08:00,,0.1,7.5,17,0,121.21645772,24.86400048,21
平鎮,桃園市,23,,良好,1,0.32,6.7,8.0,23,5,14.7,24.1,9.3,0.8,48,2024-06-01 08:00,,0.1,5.2,17,0,121.203986,24.952786,20
觀音,桃園市,13,,良好,0.4,0.1,12,14.8,13,2,8.3,12.3,3.9,1.6,30,2024-06-01 08:00,,0,3.9,10,0,121.08283092,25.03556747,19
大園,桃園市,17,,良好,1.3,0.14,11.1,16.0,16,2,10.3,14.4,4,2.1,4,2024-06-01 08:00,,0.1,3.7,12,1,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,2.3,0.28,7.2,6.9,16,17,13.9,21.5,7.6,0.9,268,2024-06-01 08:00,,0.2,11.1,18,1,121.30500531,24.9947107,17
大同,臺北市,43,,良好,1.4,1.56,2.4,2.9,35,18,16.7,83.1,66.4,-,-,2024-06-01 08:00,,0.7,13.2,23,1,121.51342074,25.06331455,16
松山,臺北市,46,,良好,0,0.43,4.8,2.3,29,16,11.1,21.1,10,1.1,75,2024-06-01 08:00,,0.4,14.1,26,,121.578611,25.05,15
古亭,臺北市,32,,良好,,0.35,4.1,4.0,25,7,7.5,14.8,7.2,0.5,115,2024-06-01 08:00,,0.2,9.8,22,2,121.529556,25.020608,14
萬華,臺北市,36,,良好,0.3,0.36,4.9,5.2,26,9,9.1,18.6,9.4,0.4,149,2024-06-01 08:00,,0.3,11.1,24,0,121.507972,25.046503,13
中山,臺北市,32,,良好,0.4,0.41,6.2,4.2,25,8,9.7,16.6,6.8,1.1,345,2024-06-01 08:00,,0.3,10,21,0,121.526528,25.062361,12
士林,臺北市,37,,良好,0.8,0.34,6.3,6.8,21,14,15.4,26.3,10.8,0.8,279,2024-06-01 08:00,,0.3,11.3,16,1,121.51666356,25.10334003,11
淡水,新北市,15,,良好,0.9,0.11,17.2,16.8,20,4,4.9,6.2,1.3,0.7,270,2024-06-01 08:00,,0.1,4.7,15,1,121.449239,25.1645,10
林口,新北市,20,,良好,0.6,0.14,13.1,11.8,14,7,6.1,8.7,2.5,1.3,21,2024-06-01 08:00,,0.1,6.2,11,0,121.36548982,25.07798949,9
菜寮,新北市,25,,良好,1,0.3,13.5,5.2,15,5,10.4,14.1,3.6,1,325,2024-06-01 08:00,,0.4,7.8,20,1,121.481028,25.06895,8
新莊,新北市,36,,良好,0.6,0.39,6,2.6,25,9,15.8,30.7,14.9,0.8,76,2024-06-01 08:00,,0.4,11.2,20,0,121.4325,25.037972,7
板橋,新北市,31,,良好,0.6,0.58,5.8,3.3,32,9,14.2,27.7,13.5,0.6,123,2024-06-01 08:00,,0.4,9.7,24,0,121.458667,25.012972,6
土城,新北市,46,,良好,0,0.5,5.3,1.8,31,17,13.9,26.9,13,0.3,191,2024-06-01 08:00,,0.4,14.2,25,0,121.451861,24.982528,5
新店,新北市,34,,良好,0.1,0.33,5.5,6.3,21,8,5.5,11,5.4,0.6,152,2024-06-01 08:00,,0.2,10.5,23,1,121.537778,24.977222,4
萬里,新北市,19,,良好,0.3,0.13,15.4,9.8,13,4,7.7,11.4,3.7,1.9,53,2024-06-01 08:00,,0.1,5,19,0,121.689881,25.179667,3
汐止,新北市,39,,良好,1.4,0.4,23,3.7,33,15,21.7,28.8,7.1,1.3,59,2024-06-01 08:00,,0.3,11.9,26,2,121.64081,25.06624,2
基隆,基隆市,26,,良好,0.9,0.22,9.6,2.3,23,7,8.7,13.3,4.5,0.6,18,2024-06-01 08:00,,0.3,6.9,26,0,121.760056,25.129167,1
屏東(枋山),屏東縣,22,,良好,0.1,0.1,12.1,9.6,13,1,2.4,4.4,2,1.7,92,2024-06-01 07:00,,0,1.5,22,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,13,,良好,0.7,0.25,8.5,11.9,14,2,8.1,11.1,2.9,0.6,116,2024-06-01 07:00,,0.1,2.4,10,0,120.65525382,24.39017512,312
新北(樹林),新北市,38,,良好,0.4,0.23,3,3.8,23,10,4.8,9.5,4.7,0,82,2024-06-01 07:00,,0.2,11.6,23,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,28,,良好,0.6,0.13,8.1,11.2,51,12,4,5.6,1.6,0.3,112,2024-06-01 07:00,,0,8.5,27,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,21,,良好,0.7,0.18,6.5,6.1,24,9,8,12,3.9,0.9,124,2024-06-01 07:00,,0.1,6.6,21,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,24,,良好,1.3,0.34,5.4,4.6,26,11,9.9,15.5,5.6,1.2,165,2024-06-01 07:00,,0.2,7.5,23,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,18,,良好,1.4,0.23,11.7,13.2,18,5,7.6,9.2,1.5,1.4,121,2024-06-01 07:00,,0.1,5.4,17,1,120.56373,23.96117,201
大城,彰化縣,15,,良好,0.9,0.16,5.7,9.7,22,9,7.2,10.8,3.5,0.8,195,2024-06-01 07:00,,0,4.3,15,1,120.26964167,23.85493056,85
富貴角,新北市,20,,良好,0.2,0.07,15.5,20.0,15,7,7.8,9.2,1.4,0.8,254,2024-06-01 07:00,,0,6.1,18,0,121.53656894,25.29681695,84
麥寮,雲林縣,18,,良好,1.7,0.26,6,8.8,28,10,8.4,12.9,4.4,1.8,200,2024-06-01 07:00,,0.1,5.4,18,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,0.9,0.18,6.2,8.3,26,11,4,6.7,2.7,0.4,179,2024-06-01 07:00,,0.1,6.5,23,0,121.161933,23.045083,80
馬公,澎湖縣,17,,良好,1,0.15,9.1,18.2,13,0,9.8,12.2,2.3,1.7,145,2024-06-01 07:00,,0,0.5,6,0,119.566158,23.569031,78
金門,金門縣,10,,良好,0.4,0.11,10.9,11.1,18,4,6.1,7.4,1.3,0.8,155,2024-06-01 07:00,,0,2.8,9,0,118.312256,24.432133,77
馬祖,連江縣,61,臭氧八小時,普通,0.5,0.2,58.1,58.7,10,1,2.3,3.2,0.9,3.1,325,2024-06-01 07:00,,0.3,4.2,14,0,119.93149378,26.15188416,75
埔里,南投縣,29,,良好,0.8,0.19,3.7,5.4,31,9,2.8,6.5,3.6,0.8,153,2024-06-01 07:00,,0.1,8.8,25,0,120.967903,23.968842,72
復興,高雄市,20,,良好,8.4,0.4,5.7,5.3,23,8,12.4,17.8,5.3,0.8,99,2024-06-01 07:00,,0.2,5.2,16,1,120.312017,22.608711,71
永和,新北市,33,,良好,0.9,0.42,2.9,4.1,25,8,6.4,13.3,6.8,0.6,172,2024-06-01 07:00,,0.3,10.2,20,0,121.516306,25.017,70
竹山,南投縣,26,,良好,0.5,0.14,5.9,5.6,23,9,5,7.1,2.1,0.5,335,2024-06-01 07:00,,0.1,7.9,22,0,120.677306,23.756389,69
中壢,桃園市,27,,良好,0.1,1.14,2.7,7.0,21,9,13.8,51.4,37.5,0.2,219,2024-06-01 07:00,,0.5,8.3,18,1,121.221667,24.953278,68
三重,新北市,37,,良好,1.1,0.6,3.9,2.9,25,10,16.6,54.3,37.6,-,-,2024-06-01 07:00,,0.6,11.4,23,0,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,0.5,0.17,6.5,14.3,28,7,3.4,5,1.6,0.6,257,2024-06-01 07:00,,0.1,8.2,24,0,121.792928,24.632203,66
宜蘭,宜蘭縣,18,,良好,1,0.23,12.9,17.9,19,3,4.7,5.5,0.8,0.3,315,2024-06-01 07:00,,0.1,5.6,17,1,121.746394,24.747917,65
陽明,臺北市,14,,良好,0.8,0.14,12,15.7,17,2,4.5,5.4,0.9,0.8,,2024-06-01 07:00,,0.1,2.1,10,0,121.529583,25.182722,64
花蓮,花蓮縣,27,,良好,0.5,0.25,9.5,13.7,,6,2.3,2.8,0.5,2.4,210,2024-06-01 07:00,,0.2,8.2,,0,121.599769,23.971306,63
臺東,臺東縣,21,,良好,0,0.19,11.8,14.0,21,5,7.2,9,1.8,0.2,310,2024-06-01 07:00,,0.1,5.3,21,0,121.15045,22.755358,62
恆春,屏東縣,19,,良好,0.6,0.07,24.2,21.7,9,6,0.7,1.4,0.7,1,276,2024-06-01 07:00,,0,5.8,12,0,120.788928,21.958069,61
潮州,屏東縣,24,,良好,0.8,0.12,9.4,8.1,28,5,3.4,6.1,2.7,1.2,137,2024-06-01 07:00,,0.1,4.7,24,1,120.561175,22.523108,60
屏東,屏東縣,27,,良好,0.9,0.22,6.9,6.8,30,6,5.7,9.1,3.4,1,106,2024-06-01 07:00,,0.1,5.5,27,1,120.488033,22.673081,59
小港,高雄市,29,,良好,3.8,0.3,3.7,5.0,27,12,12.7,20.7,7.9,0.4,314,2024-06-01 07:00,,0.2,8.8,20,2,120.337736,22.565833,58
前鎮,高雄市,22,,良好,8,0.45,5,4.2,25,5,13.2,19.7,6.5,0.2,25,2024-06-01 07:00,,0.2,5.3,20,2,120.30833356,22.6044507,57
前金,高雄市,19,,良好,1.5,0.3,8.5,5.4,23,4,9.4,11.9,2.4,0.3,147,2024-06-01 07:00,,0.2,4,19,1,120.28676111,22.63390278,56
左營,高雄市,23,,良好,3,0.29,7.1,6.5,17,7,9.8,12.9,3,1.4,141,2024-06-01 07:00,,0.2,7.1,16,1,120.292917,22.674861,54
楠梓,高雄市,29,,良好,2.8,0.34,3.3,3.9,31,11,17.4,29.2,11.8,0.2,145,2024-06-01 07:00,,0.2,8.8,25,0,120.328289,22.733667,53
林園,高雄市,49,,良好,1,0.3,9.2,7.1,75,16,5.7,8.6,2.9,1.2,117,2024-06-01 07:00,,0.2,9.5,49,1,120.41175,22.4795,52
